Model,Seeds Done,Test AUC,Test AUC std,Test AP,Test AP std,Test MAE,Test MAE std,Test RMSE,Test RMSE std,Test R2,Test R2 std,Source dir
"HGT+ Combined + scale=64 (Two-Stage, v2-RA carry)",10,0.8749,0.0033,0.8538,0.0028,0.4607,0.0086,0.7238,0.0117,0.2841,0.0242,hgtplus_combined_staleness64_v2racarry
"HGT+ Combined (Two-Stage, v2-RA carry)",10,0.8740,0.0027,0.8518,0.0016,0.4608,0.0080,0.7177,0.0052,0.2946,0.0102,hgtplus_combined_v2racarry
"HGT+EWattn (Two-Stage)",10,0.8530,0.0041,0.8282,0.0029,0.4866,0.0082,0.7613,0.0086,0.2080,0.0181,hgtplus_ew_attn_abc_ts
"HGT+EWlog (Two-Stage)",10,0.8582,0.0044,0.8334,0.0043,0.4056,0.0028,0.6669,0.0056,0.3937,0.0099,hgtplus_ew_log_ac_ts
"HGT+ JacGate no-text (v2-RA carry)",10,0.8530,0.0063,0.8284,0.0055,0.4807,0.0057,0.7586,0.0068,0.2135,0.0139,hgtplus_jacgate_notextfeat_v2racarry
"HGT+ JacGate (Two-Stage, v2-RA carry)",10,0.8738,0.0028,0.8504,0.0025,0.4590,0.0089,0.7185,0.0116,0.2931,0.0228,hgtplus_jacgate_v2racarry
"HGT+ NoGate s64 no-text (v2-RA carry)",10,0.8523,0.0071,0.8276,0.0060,0.4812,0.0044,0.7633,0.0071,0.2045,0.0152,hgtplus_nogate_s64_notextfeat_v2racarry
"HGT+ NoGate s64 + TCMP (v2-RA carry)",10,0.8693,0.0044,0.8440,0.0031,0.4613,0.0078,0.7265,0.0077,0.2783,0.0155,hgtplus_nogate_s64_tcmp_v2racarry
"HGT+ NoGate s64 + ToA (v2-RA carry)",10,0.8739,0.0044,0.8527,0.0035,0.4562,0.0085,0.7159,0.0056,0.2986,0.0114,hgtplus_nogate_s64_toa_v2racarry
"HGT+ TBA no-text (v2-RA carry)",10,0.8517,0.0057,0.8287,0.0048,0.4832,0.0043,0.7655,0.0114,0.1997,0.0238,hgtplus_tba_nophase_ampoff_notextfeat_v2racarry
"HGT+ TBA (Two-Stage, v2-RA carry)",10,0.8719,0.0025,0.8483,0.0040,0.4618,0.0031,0.7207,0.0060,0.2884,0.0115,hgtplus_tba_nophase_ampoff_v2racarry
"HGT+EWlog ToA (Two-Stage, v2-RA carry)",10,0.8757,0.0031,0.8514,0.0033,0.4089,0.0037,0.6673,0.0112,0.3909,0.0208,hgtplus_toa_ewlog_v2racarry
"HGT+EWlog ToA + JacGate (Two-Stage, v2-RA carry)",10,0.8738,0.0039,0.8504,0.0026,0.4074,0.0024,0.6625,0.0085,0.4000,0.0146,hgtplus_toa_jac_ewlog_v2racarry
"HGT+ ToA + JacGate (Two-Stage, v2-RA carry)",10,0.8751,0.0032,0.8519,0.0022,0.4612,0.0085,0.7211,0.0113,0.2883,0.0216,hgtplus_toa_jac_v2racarry
"HGT+ ToA no-text (v2-RA carry)",10,0.8516,0.0040,0.8286,0.0035,0.4839,0.0090,0.7613,0.0086,0.2082,0.0183,hgtplus_toa_notextfeat_v2racarry
"HGT+ ToA (Two-Stage, v2-RA carry)",10,0.8734,0.0040,0.8505,0.0038,0.4614,0.0059,0.7193,0.0087,0.2916,0.0176,hgtplus_toa_v2racarry
"HTGNN tuned (Two-Stage)",10,0.8052,0.0108,0.7715,0.0127,0.5012,0.0053,0.7891,0.0076,0.1485,0.0156,htgnn_lpnew_jl_tuned_defb_portfolio
"SE-HTGNN (Two-Stage)",10,0.8445,0.0037,0.8008,0.0066,0.4257,0.0041,0.6973,0.0080,0.3370,0.0151,sehtgnn_twostage_jl_defb_portfolio_std
"SE-HTGNN-NoEW (Two-Stage)",10,0.7973,0.1083,0.7626,0.0962,0.5024,0.0061,0.7907,0.0042,0.1412,0.0080,sehtgnn_twostage_jl_defb_portfolio_std_noew
"SimTeG (v2-RA carry, older/unfixed)",10,0.8572,0.0035,0.8344,0.0034,0.4715,0.0062,0.7431,0.0065,0.2467,0.0132,simteg_yours_noew_v2ra_carry
"HGT+ (v2ra concat text, no_staleness)",10,0.8705,0.0028,0.8485,0.0026,0.4416,0.0061,0.7065,0.0094,0.317,0.0184,hgtplus_lpnew_v2raconcat_ns
"RGCN (v2ra concat text, no_staleness)",10,0.8609,0.0051,0.8316,0.0047,0.444,0.0056,0.7149,0.0037,0.3016,0.007,rgcn_ts_v2raconcat_ns
"HAN (v2ra concat text, no_staleness)",10,0.8128,0.006,0.7773,0.0058,0.4962,0.0103,0.7648,0.0092,0.1978,0.0218,han_ts_v2raconcat_ns
"GCN (v2ra concat text, no_staleness)",10,0.8215,0.005,0.801,0.0039,0.4694,0.0088,0.7458,0.018,0.2377,0.037,gcn_ts_v2raconcat_ns
"GAT (v2ra concat text, no_staleness)",10,0.8401,0.01,0.8097,0.0112,0.4557,0.0151,0.7213,0.0172,0.2886,0.0343,gat_ts_v2raconcat_ns
"CasMLN-NoEW (v2ra concat text, no_staleness)",10,0.8593,0.0051,0.831,0.0045,0.4539,0.005,0.7149,0.005,0.3005,0.0101,cmln_noew_ts_v2raconcat_ns
"DHSpace (v2ra concat text, no_staleness)",10,0.8743,0.0036,0.8497,0.0032,0.4372,0.0043,0.7076,0.008,0.3176,0.0152,dhspace_v2raconcat_ns
"DySAT (v2ra concat text, no_staleness)",10,0.7232,0.1126,0.6888,0.1171,0.5055,0.0481,0.7909,0.0648,0.1414,0.137,dysat_ts_v2raconcat_ns
"HTGNN tuned (v2ra concat text, no_staleness)",9,0.8644,0.0036,0.8382,0.0049,0.4587,0.0049,0.7185,0.0069,0.2931,0.0152,htgnn_tuned_v2raconcat_ns
"SE-HTGNN-NoEW (v2ra concat text, no_staleness)",10,0.8342,0.008,0.8035,0.0087,0.446,0.0073,0.7138,0.0072,0.3053,0.0141,sehtgnn_std_noew_v2raconcat_ns
"HGT+ SpAB (v2ra sum text, no_staleness)",10,0.8729,0.003,0.8516,0.0021,0.4485,0.0102,0.7167,0.014,0.2981,0.0289,hgtplus_attn_bias_v2ra_sum_ns
"HGT+ SpAB (v2ra concat text, no_staleness)",10,0.8759,0.0033,0.854,0.0025,0.4502,0.0077,0.7128,0.0075,0.3059,0.0148,hgtplus_attn_bias_v2ra_concat_ns
